HARGA KOS,,,,HARGA KOS,,,,,,,,,,,
,80gsm Simili Paper,,,,100gsm Simili Paper,,,,,,,,,,
Qty,4C + 0C,4C + 4C,,Qty,4C + 0C,4C + 4C,,,,,,,,,
,RM,,,,RM,,,,,,,,,,
300,208,354.2,,300,219.6,375.4,,2,,,,,,,
500,217.6,371.6,,500,233,385,,,,,,,,,
1000,271.6,427.4,,1000,306.2,469.8,,,,,,,,,
2000,379.4,562.2,,2000,450.6,646.8,,,,,,,,,
3000,496.8,714.2,,3000,621,817.2,,,,,,,,,
4000,614.2,866.4,,4000,791.2,987.6,,,,,,,,,
5000,748.8,985.6,,5000,941.4,1201.2,,,,,,,,,
6000,877.8,1132,,6000,1089.6,1366.2,,,,,,,,,
7000,1006.8,1278.2,,7000,1237.8,1531.2,,,,,,,,,
8000,1135.8,1424.6,,8000,1386,1696,,,,,,,,,
9000,1242.6,1555.4,,9000,1549.6,1902.6,,,,,,,,,
10000,1349.6,1686.4,,10000,1713.4,2109.2,,,,,,,,,
12000,1607.4,2016.6,,12000,2135.4,2507.6,,,,,,,,,
16000,2143.2,2648.6,,16000,2823.6,3300.6,,,,,,,,,
20000,2479.4,2954.4,,20000,3486.8,3924.6,,,,,,,,,
24000,3158,3663.8,,24000,3881.6,4241.8,,,,,,,,,
28000,3636.6,4188.6,,28000,4479.6,4861.8,,,,,,,,,
30000,3889.8,4478.8,,30000,4792.4,5199.6,,,,,,,,,
32000,4143,4769,,32000,5105.4,5537.4,,,,,,,,,
36000,4649.2,5349.2,,36000,5731.2,6212.8,,,,,,,,,
40000,5155.6,5929.4,,40000,6356.8,6888.2,,,,,,,,,
44000,5662,6509.8,,,,,,,,,,,,,
48000,6168.4,7090,,,,,,,,,,,,,
50000,6421.6,7380.2,,,,,,,,,,,,,
52000,6674.6,7670.2,,,,,,,,,,,,,
56000,7181,8250.6,,,,,,,,,,,,,
60000,7687.4,8830.8,,,,,,,,,,,,,
64000,8193.8,9411.2,,,,,,,,,,,,,
68000,8700.2,9991.4,,,,,,,,,,,,,
70000,8953.2,10281.6,,,,,,,,,,,,,
72000,9206.4,10571.6,,,,,,,,,,,,,
76000,9712.8,11152,,,,,,,,,,,,,
80000,10219.2,11732.2,,,,,,,,,,,,,
84000,10725.6,12312.6,,,,,,,,,,,,,
88000,11231.8,12892.8,,,,,,,,,,,,,
90000,11485,13183,,,,,,,,,,,,,
92000,11738.2,13473,,,,,,,,,,,,,
96000,12244.6,14053.4,,,,,,,,,,,,,
100000,12751,14633.6,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
85gsm Art Paper (Free Folding),,,,,,,,,128gsm Art Paper (Free Folding),,,,,,
Qty,4C + 4C ,,,105gsm Art Paper (Free Folding),,,,Qty,4C + 0C,4C + 4C ,,157gsm Art Paper (Free Folding),,,
,RM,,,,,,,,RM,,,Qty,4C + 0C ,4C + 4C,
10000,1762,,,Qty,4C + 0C ,4C + 4C ,,300,229.2,392.8,,,RM,,
15000,2588,,,,RM,,,500,242.6,404.4,,300,248.4,410,
20000,2944.4,,,300,213.8,367.8,,1000,317.8,498.6,,500,263.8,419.8,
25000,3518.6,,,500,223.4,381.2,,2000,464,664.2,,1000,354.2,525.6,
30000,4277.6,,,1000,290.8,440.8,,3000,640,838.4,,2000,546.8,745,
35000,4973.2,,,2000,423.6,620,,4000,816.2,1012.6,,3000,745,925,
40000,5668.6,,,4000,720,935.6,,5000,1000,1222.4,,4000,943.4,1105,
45000,6369.8,,,5000,885.6,1135.8,,6000,1196,1408.6,,5000,1164.8,1351.4,
50000,7059.6,,,8000,1345.6,1651.8,,7000,1394,1594.6,,6000,1371.4,1614.8,
,,,,10000,1663.2,2054.8,,8000,1590,1780.8,,7000,1577.8,1878,
,,,,12000,2073,2443.2,,9000,1760,2000,,8000,1784.6,2141.4,
,,,,15000,2576,3020.8,,10000,1882,2212,,9000,2000,2299.4,
,,,,16000,2741,3212,,12000,2248,2600,,10000,2210,2457.4,
,,,,20000,3067.2,3461.6,,16000,2862,3330,,12000,2640,2924.2,
,,,,24000,3678.2,4184,,20000,3408,3876.2,,16000,3500,3860,
,,,,25000,3827.4,4352.8,,24000,4298.6,4804.6,,20000,4101.6,4317,
,,,,28000,4242.4,4794.6,,28000,4965,5517.2,,24000,5081,5586.8,
,,,,30000,4538.4,5127.6,,30000,5312.2,5901.2,,28000,5876.2,6428.2,
,,,,32000,4834.4,5460.4,,32000,5659.2,6285.2,,30000,6287.6,6876.6,
,,,,35000,5278.4,5960,,36000,6353.4,7053.2,,32000,6699,7325,
