SIMILI PAPER 80GSM,,,,SIMILI PAPER 100GSM,,,,,,,,,
Qty,4C+0C,4C+4C,,Qty,4C+0C,4C+4C,,,,,,,
,RM,,,,RM,,,,,,,,
300,115.6,198.4,,300,150.2,223.4,,2,,,,,
500,127.2,208,,500,158,231,,,,,,,
1000,165.6,227.2,,1000,208,254.2,,,,,,,
2000,205.8,312,,2000,263.8,348.6,,,,,,,
3000,251,363,,3000,352.4,425.6,,,,,,,
4000,335,414,,4000,440.8,502.6,,,,,,,
5000,408.2,500.6,,5000,523.6,606.4,,,,,,,
6000,476.2,580.2,,6000,606.4,716.2,,,,,,,
7000,544.2,659.6,,7000,689.2,826,,,,,,,
8000,612.2,739.2,,8000,772,935.6,,,,,,,
9000,683.4,822,,9000,847,1026.2,,,,,,,
10000,754.6,904.8,,10000,922.2,1116.6,,,,,,,
12000,920.8,1072.4,,12000,1093.4,1375.6,,,,,,,
16000,1200,1420,,16000,1445.8,1749.2,,,,,,,
20000,1436,1760,,20000,1615.2,2134,,,,,,,
24000,1703.8,1918,,24000,2018.6,2494.4,,,,,,,
28000,1973.6,2262.2,,28000,2348.6,2853,,,,,,,
30000,2046.8,2419,,30000,2511.6,3103.8,,,,,,,
32000,2181.6,2574,,32000,2678.8,3215.2,,,,,,,
36000,2449.2,2890,,36000,3006.8,3566.2,,,,,,,
40000,2717,3204,,40000,3336.8,3919,,,,,,,
44000,2980.4,3052,,,,,,,,,,,
48000,3247.4,3324.6,,,,,,,,,,,
50000,3381,3461,,,,,,,,,,,
52000,3514.6,3597.4,,,,,,,,,,,
56000,3781.6,3870,,,,,,,,,,,
60000,4048.8,4142.6,,,,,,,,,,,
64000,4315.8,4415.4,,,,,,,,,,,
68000,4583,4688,,,,,,,,,,,
70000,4716.6,4824.4,,,,,,,,,,,
72000,4850,4960.8,,,,,,,,,,,
76000,5117.2,5233.4,,,,,,,,,,,
80000,5384.2,5506.2,,,,,,,,,,,
84000,5651.4,5778.8,,,,,,,,,,,
