Simili Paper,,,,,,,,,,
80gsm,,,,,,,,,,
,4C+0C (Free Folding),4C+4C (Free Folding),,,,,,,,
Qty,RM,RM,,,2,,,,,
600,100.2,173.4,,,,,,,,
1000,125.2,213.8,,,,,,,,
2000,184.8,231,,,,,,,,
4000,238.8,315.8,,,,,,,,
6000,304.2,387,,,,,,,,
8000,369.6,458.2,,,,,,,,
10000,454.4,539,,,,,,,,
12000,538.4,636.6,,,,,,,,
14000,622.4,734.2,,,,,,,,
16000,706.6,831.6,,,,,,,,
18000,747,883,,,,,,,,
20000,787.4,924,,,,,,,,
40000,1544,1800,,,,,,,,
60000,2405,2797.4,,,,,,,,
100000,3690,4108.2,,,,,,,,
200000,7358.8,8187.8,,,,,,,,
,,,,,,,,,,
ART PAPER 105GSM,,,,ART PAPER 128GSM,,,,ART PAPER 157GSM,,
4C+0C (Art Paper) (Free Folding),4C+4C (Art Paper) (Free Folding),,,,4C+0C (Art Paper)(Free Folding),4C+4C (Art Paper)(Free Folding),,,4C+4C (Art Paper)(Free Folding),
,,,,Qty,RM,RM,,4C+0C (Art Paper)(Free Folding),,
Qty,RM,RM,,600,136.8,206,,Qty,RM,RM
600,117.6,190.6,,1000,165.6,240.8,,600,156,209.8
1000,145.4,223.4,,2000,221.4,267.6,,1000,190.6,254.2
2000,194.4,250.4,,4000,285,379.4,,2000,233,283
4000,260,321.6,,6000,391.8,466,,4000,321.6,415.8
8000,458.2,523.6,,8000,498.6,552.6,,6000,432.2,508.2
10000,496.8,600.6,,10000,571.8,658.4,,8000,543,600.6
16000,777.8,929.8,,12000,679,774,,10000,646.8,737.4
20000,866.4,1037.6,,14000,786.2,889.4,,12000,760,862
24000,1035.8,1234,,16000,893.2,1005,,14000,871.4,988
30000,1284,1530.4,,18000,940.2,1062,,16000,983.8,1110.8
32000,1370.6,1630.6,,20000,988,1123,,18000,1041.6,1175.4
40000,1703.8,2117.2,,40000,2028.6,2217.8,,20000,1120,1272
,,,,60000,3024.8,3302.6,,40000,2250,2550
,,,,100000,4839,5257.4,,60000,3308.4,3664.8
,,,,200000,9653.4,10482.4,,100000,5627,6045.4
,,,,,,,,200000,11227.2,12056.2
,,,,,,,,,,
ART CARD 260GSM,,,,ART CARD 310GSM,,,,,,
,4C+0C (Art card),4C+4C (Art card),,4C+0C (Art card) ,4C+4C (Art card) ,,,,,
Qty,RM,RM,,,,,,,,
600,241.2,319.4,,Qty,RM,RM,,,,
1000,260,346.6,,600,289.6,383.4,,,,
2000,381.2,443.4,,1000,312,416,,,,
3000,435.2,546.8,,2000,457.6,513,,,,
4000,527.6,645,,3000,522.4,656.2,,,,
5000,627.6,739.2,,4000,633.2,774,,,,
6000,760.4,862.4,,5000,753.2,887.2,,,,
7000,881.8,962.6,,6000,912.6,1035,,,,
8000,1003,1053,,7000,1058.2,1155.2,,,,
9000,1124.2,1178.2,,8000,1203.6,1263.6,,,,
10000,1245.6,1303.4,,9000,1349.2,1414,,,,
,,,,10000,1494.8,1564.2,,,,
