VERTICAL,,,,,HORIZONTAL,,,
 (pcs),5pcs/pack,8pcs/pack,10pcs/pack,,Qty（Pcs）,5pcs/pack,8pcs/pack,10pcs/pack
,RM,,,2,Price,RM,RM,RM
500,294.6,294.6,294.6,,500,323,323,323
1000,351.6,351.6,351.6,,1000,380,380,380
2000,503.6,503.6,503.6,,2000,570,570,570
3000,655.6,655.6,655.6,,3000,760,760,760
4000,807.6,807.6,807.6,,4000,950,950,950
5000,959.6,959.6,959.6,,5000,1140,1140,1140
6000,1073.6,1073.6,1073.6,,6000,1254,1254,1254
7000,1225.6,1225.6,1225.6,,7000,1406,1406,1406
8000,1301.6,1301.6,1301.6,,8000,1482,1482,1482
9000,1415.6,1415.6,1415.6,,9000,1596,1596,1596
10000,1472.6,1472.6,1472.6,,10000,1710,1710,1710
15000,1795.6,1795.6,1795.6,,15000,2223,2223,2223
20000,2232.6,2232.6,2232.6,,20000,2736,2736,2736
25000,2612.6,2612.6,2612.6,,25000,3249,3249,3249
30000,2992.6,2992.6,2992.6,,30000,3762,3762,3762
35000,3657.6,3657.6,3657.6,,35000,4275,4275,4275
40000,3942.6,3942.6,3942.6,,40000,4788,4788,4788
45000,4607.6,4607.6,4607.6,,45000,5301,5301,5301
50000,4892.6,4892.6,4892.6,,50000,5814,5814,5814
