,,,,,,,
HARGA JUAL ,,,,,,,
BUSINESS CARD,100,200,300,400,500,1000,2000
MATT LAMINATE,,,,,,,
260GSM,22,30,32,38,43,55,110
310GSM,30,40,50,55,60,70,125
350GSM,30,44,57,72,82,150,300
,,,,,,,
NO LAMINATE,,,,,,,
260GSM,15,23,27,,35,50,95
310GSM,,24,35,,52,70,140
350GSM,,34,50,,75,140,270
,,,,,,,
UV VARNISH,,,,,,,
260GSM,,25,27,,35,50,100
,,,,,,,
UV LAMINATE,,,,,,,
260GSM,,,,,,,
MATT LAM 1SIDE SPOT UV,40,45,50,60,65,100,180
MATT LAM 2 SIDE SPOT UV,,65,70,,85,120,230
310GSM,,,,,,,
MATT LAM 1SIDE SPOT UV,,,55,,65,95,175
MATT LAM 2 SIDE SPOT UV,,,55,,95,145,290
350GSM,,,,,,,
MATT LAM 1SIDE SPOT UV,,,65,,110,199,360
MATT LAM 2 SIDE SPOT UV,,,75,,120,240,500
